rank,title,score,vote_count,release_date,regions,types,actors,url,cover_url
1,控方证人,9.6,727531,2025-12-05,美国,"剧情,犯罪,悬疑,惊悚","['泰隆·鲍华', '玛琳·黛德丽', '查尔斯·劳顿', '埃尔莎·兰彻斯特', '约翰·威廉姆斯', '亨利·丹尼尔', '伊安·沃尔夫', '托林·撒切尔', '诺玛·威登', '尤娜·奥康纳']",https://movie.douban.com/subject/1296141/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2927451337.jpg
2,盗梦空间,9.4,2301768,2010-09-01,"美国,英国","剧情,科幻,悬疑,冒险","['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾利奥特·佩吉', '汤姆·哈迪', '渡边谦', '迪利普·劳', '基里安·墨菲', '汤姆·贝伦杰', '玛丽昂·歌迪亚', '皮特·波斯尔思韦特']",https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
3,控方证人,9.4,102983,1982-12-04,"美国,英国","剧情,犯罪,悬疑","['拉尔夫·理查德森', '黛博拉·蔻儿', '博·布里奇斯', '黛安娜·里格', '温蒂·希勒', '唐纳德·普利森斯', '彼得·萨利斯', '弗兰克·米尔斯']",https://movie.douban.com/subject/5294851/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2367853261.jpg
4,窃听风暴,9.2,627158,2006-03-23,德国,"剧情,悬疑","['乌尔里希·穆埃', '马蒂娜·格德克', '塞巴斯蒂安·科赫', '乌尔里希·图库尔', '托马斯·蒂梅', '汉斯-尤韦·鲍尔', '沃克马·克莱纳特', '马提亚斯·布伦纳', '查理·哈纳', '赫伯特·克瑙普']",https://movie.douban.com/subject/1900841/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
5,切腹,9.4,57774,1962-09-16,日本,"剧情,动作,悬疑","['仲代达矢', '石浜朗', '岩下志麻', '丹波哲郎', '三岛雅夫', '中谷一郎', '佐藤庆', '稻叶义男', '井川比佐志', '武内亨']",https://movie.douban.com/subject/1304920/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151748293.jpg
6,未麻的部屋,9.1,420591,1997-08-05,日本,"剧情,犯罪,动画,悬疑,惊悚","['岩男润子', '松本梨香', '辻亲八', '大仓正章', '秋元羊介', '盐屋翼', '堀秀行', '筱原惠美', '江原正士', '梁田清之']",https://movie.douban.com/subject/1395091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
7,搏击俱乐部,9.0,963003,1999-09-10,美国,"剧情,动作,悬疑,惊悚","['爱德华·诺顿', '布拉德·皮特', '海伦娜·伯翰·卡特', '扎克·格雷尼尔', '米特·洛夫', '杰瑞德·莱托', '艾恩·贝利', '里奇蒙德·阿奎特', '乔治·马奎尔', '卡尔·西阿法里奥']",https://movie.douban.com/subject/1292000/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg
8,红辣椒,9.0,563129,2006-09-02,日本,"动画,悬疑,科幻,惊悚","['林原惠美', '江守彻', '堀胜之祐', '古谷彻', '大塚明夫', '山寺宏一', '田中秀幸', '兴梠里美', '岩田光央', '爱河里花子']",https://movie.douban.com/subject/1865703/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2794776839.jpg
9,惊魂记,9.0,352974,1960-06-16,美国,"悬疑,惊悚,恐怖","['安东尼·博金斯', '维拉·迈尔斯', '约翰·加文', '珍妮特·利', '马丁·鲍尔萨姆', '约翰·麦克因泰', '西蒙·奥克兰', '弗兰克·艾伯森', '帕特里夏·希区柯克', '沃恩·泰勒']",https://movie.douban.com/subject/1293181/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg
10,禁闭岛,8.9,1102923,2010-02-13,美国,"剧情,悬疑,惊悚","['莱昂纳多·迪卡普里奥', '马克·鲁法洛', '本·金斯利', '马克斯·冯·叙多夫', '米歇尔·威廉姆斯', '艾米莉·莫迪默', '派翠西娅·克拉克森', '杰基·厄尔·哈利', '泰德·拉文', '约翰·卡洛·林奇']",https://movie.douban.com/subject/2334904/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg
